Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Correlation,Manipulative,Disease_specific,Disease_general,Notes,Coral,Region,,,
Slattery et al. 2013 (Coral Reefs),Chaetodontidae (NO SPECIFIC SPP OBSERVED),Chaetodontidae,Chaetodontidae,Chordata,Positive,N,N,NA,NA,Sinularia Tissue Loss Disease,Sinularia TLD,"Feeding scars increased on diseased corals ( not that more predation = more disease, but that more disease = more predation, but still a positive relationship so included here). No specific species though! ","Sinularia soft corals (S. maxima, S. polydactyla, and a hybrid)",Guam,,,
Moreira et al. 2013 (Current Microbiology),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Positive,N,N,Positive,NA,Bleaching,Bleaching,Not included as a reservoir because none of the pathogens inside the worms were implicated in disease,Madracis decactis,"St. Peter and St. Paul Archipelago, Mid-Atlantic Ridge, Brazil",,,
Ross 2014 (Revista de Biologia Tropical),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,N,N,None,NA,NA,NA,No significant effect between disease and fireworms,Acropora cervicornis,"Montego Bay, Jamaica",,,
Shirur et al. 2016 (Mar Biol),NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,Wounding,Gorgonians: Eunicea flexuosa and Pseudoplexaura porosa,"Puerto Morelos, Mexico",,,
Ranith et al. 2017 (Marine Ecology),Parrotfish (scars),Scaridae,Parrotfish,Chordata,Positive,N,N,Positive,NA,Black-band disease,BBD,,All corals,"Lakshadweep, Arabian Sea (200km from India)",,,
Vermeij et al. 2015 MEPS,Stegastes planifrons,Pomacentridae,Stegastes,Chordata,Positive,N,N,Positive,NA,General disease (lots of YBD),General,,Orbicella species complex,Bonaire,,,
Martin et al. 2018,Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,NA,Y,N,NA,NA,Trematodiasis,Trematodiasis,Described trematodes in parrotfish,"NA (or, well, would be Porites?)",French Polynesia and Hawaii,,,
Kellogg et al. 2017 (Bull Mar Scie),Acanthurus leucopareius,Acanthuridae,Acanthurus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,,Montipora patula,"Kauai, Hawai'i",,,
Casey et al. 2014,Stegastes nigricans,Pomacentridae,Stegastes,Chordata,Positive,N,N,Positive,NA,Black-band disease,BBD,,,,,,
Casey et al. 2014,Stegastes apicalis,Pomacentridae,Stegastes,Chordata,Positive,N,N,Positive,NA,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Willis et al. 2004,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,No relationship observed,All corals,Great Barrier Reef,,,
